emp_id,gender,age,location,domicile_distance_km,transport_mode,day_of_week,is_holiday,entry_time,scheduled_time,lateness_min,lateness_label
E0122,M,27,PJOP_SURABAYA,15.9,Walking,Monday,No,08:13,08:00,13,Late
E0193,M,41,ICT_PROJECT,24.4,Private_Vehicle,Monday,No,07:59,08:00,0,On_Time
E0012,M,52,RND_CENTER,25.6,Public_Transport,Thursday,No,08:10,08:00,10,Late
E0107,M,46,HR_TEAM,12.6,Private_Vehicle,Monday,No,08:03,08:00,3,On_Time
E0193,M,49,ICT_PROJECT,6.1,Bike,Monday,No,07:53,08:00,-6,On_Time
E0143,M,29,HR_TEAM,4.9,Bike,Friday,No,08:03,08:00,3,On_Time
E0144,F,50,RND_CENTER,24.6,Bike,Friday,No,08:15,08:00,15,Late
E0115,M,52,HR_TEAM,8.5,Private_Vehicle,Wednesday,No,07:59,08:00,0,On_Time
E0197,F,37,PJOP_SURABAYA,13.8,Walking,Tuesday,No,08:15,08:00,15,Late
E0070,F,42,RND_CENTER,3.3,Private_Vehicle,Tuesday,No,07:33,08:00,-26,On_Time
E0099,M,35,ADMIN,13.0,Walking,Friday,No,08:08,08:00,8,Late
E0120,F,25,ICT_PROJECT,25.2,Bike,Friday,No,08:00,08:00,0,On_Time
E0179,M,46,HR_TEAM,1.2,Walking,Wednesday,No,07:57,08:00,-2,On_Time
E0193,F,48,RND_CENTER,22.7,Private_Vehicle,Thursday,No,08:00,08:00,0,On_Time
E0057,F,49,HR_TEAM,1.8,Walking,Thursday,No,07:40,08:00,-19,On_Time
E0186,M,51,ICT_PROJECT,29.4,Public_Transport,Thursday,No,07:57,08:00,-2,On_Time
E0152,M,27,HR_TEAM,4.9,Bike,Tuesday,No,08:03,08:00,3,On_Time
E0013,F,46,PJOP_SURABAYA,7.1,Walking,Wednesday,No,08:14,08:00,14,Late
E0195,F,39,HR_TEAM,8.3,Public_Transport,Thursday,No,07:54,08:00,-5,On_Time
E0005,M,44,ICT_PROJECT,19.9,Public_Transport,Monday,No,07:51,08:00,-8,On_Time
E0064,M,23,RND_CENTER,5.4,Private_Vehicle,Thursday,No,07:54,08:00,-5,On_Time
E0172,M,35,HR_TEAM,21.3,Walking,Tuesday,No,08:09,08:00,9,Late
E0156,M,32,PJOP_SURABAYA,4.1,Public_Transport,Wednesday,No,08:03,08:00,3,On_Time
E0148,F,47,ICT_PROJECT,3.2,Private_Vehicle,Monday,No,07:54,08:00,-5,On_Time
E0179,F,29,RND_CENTER,23.7,Walking,Friday,No,08:05,08:00,5,On_Time
E0110,F,26,RND_CENTER,19.8,Public_Transport,Thursday,No,08:00,08:00,0,On_Time
E0126,M,49,PJOP_SURABAYA,19.4,Bike,Tuesday,No,08:09,08:00,9,Late
E0112,M,55,PJOP_SURABAYA,18.9,Bike,Thursday,No,07:52,08:00,-7,On_Time
E0112,F,42,ICT_PROJECT,25.1,Public_Transport,Wednesday,No,07:56,08:00,-3,On_Time
E0116,M,51,RND_CENTER,18.7,Bike,Wednesday,No,07:56,08:00,-3,On_Time
E0008,F,42,ICT_PROJECT,15.1,Walking,Wednesday,No,07:45,08:00,-14,On_Time
E0088,F,39,RND_CENTER,1.3,Private_Vehicle,Monday,No,08:02,08:00,2,On_Time
E0062,F,53,RND_CENTER,23.0,Bike,Thursday,No,08:02,08:00,2,On_Time
E0115,M,27,PJOP_SURABAYA,7.4,Private_Vehicle,Wednesday,No,08:00,08:00,0,On_Time
E0170,F,52,RND_CENTER,16.4,Bike,Friday,No,07:57,08:00,-2,On_Time
E0085,F,51,PJOP_SURABAYA,9.9,Private_Vehicle,Monday,No,07:45,08:00,-14,On_Time
E0185,M,42,ADMIN,22.5,Private_Vehicle,Tuesday,No,07:55,08:00,-4,On_Time
E0056,F,39,RND_CENTER,29.3,Walking,Monday,No,07:56,08:00,-3,On_Time
E0050,F,36,PJOP_SURABAYA,6.2,Public_Transport,Friday,No,07:51,08:00,-8,On_Time
E0033,F,24,ADMIN,17.0,Private_Vehicle,Thursday,No,07:58,08:00,-1,On_Time
E0027,M,40,HR_TEAM,14.9,Walking,Tuesday,No,08:04,08:00,4,On_Time
E0014,F,52,ADMIN,24.8,Bike,Thursday,No,08:18,08:00,18,Late
E0019,M,31,ICT_PROJECT,24.5,Walking,Monday,No,08:01,08:00,1,On_Time
E0064,M,48,RND_CENTER,18.3,Private_Vehicle,Friday,No,08:02,08:00,2,On_Time
E0098,F,50,PJOP_SURABAYA,25.9,Bike,Wednesday,No,07:59,08:00,0,On_Time
E0146,M,28,ICT_PROJECT,19.1,Walking,Monday,No,07:40,08:00,-19,On_Time
E0041,M,33,RND_CENTER,3.2,Public_Transport,Thursday,No,07:59,08:00,0,On_Time
E0116,F,40,ADMIN,7.7,Walking,Thursday,No,08:00,08:00,0,On_Time
E0019,M,38,RND_CENTER,20.2,Private_Vehicle,Thursday,No,08:24,08:00,24,Late
E0030,M,31,PJOP_SURABAYA,25.0,Public_Transport,Monday,No,07:58,08:00,-1,On_Time
E0043,F,40,HR_TEAM,4.6,Walking,Thursday,No,08:03,08:00,3,On_Time
E0070,F,50,ADMIN,18.3,Bike,Wednesday,No,07:59,08:00,0,On_Time
E0155,F,23,ADMIN,7.6,Public_Transport,Wednesday,No,07:48,08:00,-11,On_Time
E0148,M,33,HR_TEAM,16.0,Bike,Wednesday,No,08:11,08:00,11,Late
E0047,F,53,ADMIN,14.6,Bike,Wednesday,No,08:07,08:00,7,Late
E0083,M,32,PJOP_SURABAYA,12.9,Bike,Wednesday,No,08:07,08:00,7,Late
E0170,F,24,HR_TEAM,3.6,Walking,Wednesday,No,07:50,08:00,-9,On_Time
E0030,F,54,ADMIN,20.1,Bike,Thursday,No,08:14,08:00,14,Late
E0014,M,55,PJOP_SURABAYA,19.1,Bike,Thursday,No,07:45,08:00,-14,On_Time
E0195,M,35,PJOP_SURABAYA,16.9,Walking,Thursday,No,08:05,08:00,5,On_Time
E0179,F,29,ADMIN,29.2,Private_Vehicle,Tuesday,No,08:21,08:00,21,Late
E0080,M,48,ADMIN,7.5,Public_Transport,Thursday,No,07:50,08:00,-9,On_Time
E0031,M,53,PJOP_SURABAYA,15.8,Walking,Thursday,No,07:54,08:00,-5,On_Time
E0124,F,37,HR_TEAM,17.0,Bike,Tuesday,No,08:00,08:00,0,On_Time
E0154,M,26,PJOP_SURABAYA,23.4,Bike,Wednesday,No,07:54,08:00,-5,On_Time
E0130,F,22,PJOP_SURABAYA,22.1,Bike,Tuesday,No,07:44,08:00,-15,On_Time
E0115,F,44,PJOP_SURABAYA,17.0,Bike,Thursday,No,08:00,08:00,0,On_Time
E0083,M,37,RND_CENTER,12.1,Bike,Monday,No,07:49,08:00,-10,On_Time
E0082,F,46,HR_TEAM,29.7,Private_Vehicle,Thursday,No,08:04,08:00,4,On_Time
E0010,M,54,RND_CENTER,10.6,Public_Transport,Thursday,No,07:50,08:00,-9,On_Time
E0026,F,22,ICT_PROJECT,12.9,Private_Vehicle,Monday,No,08:15,08:00,15,Late
E0121,F,43,RND_CENTER,21.1,Public_Transport,Wednesday,No,07:52,08:00,-7,On_Time
E0173,F,42,HR_TEAM,26.3,Public_Transport,Friday,No,07:56,08:00,-3,On_Time
E0018,M,40,ICT_PROJECT,22.7,Bike,Monday,No,08:08,08:00,8,Late
E0195,M,50,ICT_PROJECT,21.1,Public_Transport,Monday,No,07:47,08:00,-12,On_Time
E0084,M,40,PJOP_SURABAYA,11.9,Private_Vehicle,Tuesday,No,08:02,08:00,2,On_Time
E0136,F,33,ICT_PROJECT,6.1,Bike,Friday,No,08:13,08:00,13,Late
E0175,M,53,RND_CENTER,5.2,Bike,Wednesday,No,07:43,08:00,-16,On_Time
E0118,F,22,HR_TEAM,27.1,Private_Vehicle,Monday,No,08:01,08:00,1,On_Time
E0114,F,41,HR_TEAM,21.0,Bike,Wednesday,No,08:02,08:00,2,On_Time
E0051,F,52,ADMIN,7.9,Walking,Friday,No,08:07,08:00,7,Late
E0076,F,23,HR_TEAM,9.0,Public_Transport,Friday,No,07:47,08:00,-12,On_Time
E0191,F,40,ICT_PROJECT,18.6,Walking,Tuesday,No,07:46,08:00,-13,On_Time
E0163,M,38,ICT_PROJECT,19.2,Public_Transport,Wednesday,No,08:05,08:00,5,On_Time
E0113,M,45,ICT_PROJECT,3.6,Walking,Wednesday,No,08:02,08:00,2,On_Time
E0192,F,33,ICT_PROJECT,4.8,Walking,Friday,No,08:02,08:00,2,On_Time
E0129,F,32,PJOP_SURABAYA,27.5,Bike,Wednesday,No,08:03,08:00,3,On_Time
E0192,F,29,HR_TEAM,28.9,Private_Vehicle,Tuesday,No,07:53,08:00,-6,On_Time
E0174,F,45,ADMIN,23.9,Public_Transport,Wednesday,No,08:02,08:00,2,On_Time
E0138,M,51,PJOP_SURABAYA,20.5,Walking,Friday,No,08:02,08:00,2,On_Time
E0098,F,28,ICT_PROJECT,14.7,Walking,Friday,No,07:52,08:00,-7,On_Time
E0057,M,51,PJOP_SURABAYA,19.8,Public_Transport,Tuesday,No,08:18,08:00,18,Late
E0012,M,41,HR_TEAM,4.4,Private_Vehicle,Friday,No,08:04,08:00,4,On_Time
E0035,F,51,PJOP_SURABAYA,20.4,Bike,Friday,No,07:48,08:00,-11,On_Time
E0191,M,48,ADMIN,25.2,Bike,Wednesday,No,08:06,08:00,6,Late
E0009,F,35,HR_TEAM,13.9,Private_Vehicle,Wednesday,No,07:50,08:00,-9,On_Time
E0026,F,44,ADMIN,12.5,Private_Vehicle,Monday,No,08:07,08:00,7,Late
E0117,M,35,RND_CENTER,29.2,Public_Transport,Wednesday,No,08:11,08:00,11,Late
E0063,M,35,ADMIN,25.1,Private_Vehicle,Friday,No,07:51,08:00,-8,On_Time
E0056,M,43,ICT_PROJECT,23.9,Public_Transport,Wednesday,No,08:09,08:00,9,Late
E0038,M,38,ICT_PROJECT,4.2,Public_Transport,Tuesday,No,08:04,08:00,4,On_Time
E0004,F,37,RND_CENTER,10.4,Private_Vehicle,Wednesday,No,08:08,08:00,8,Late
E0014,M,48,RND_CENTER,4.3,Public_Transport,Thursday,No,08:18,08:00,18,Late
E0115,F,54,RND_CENTER,4.2,Private_Vehicle,Friday,No,07:57,08:00,-2,On_Time
E0012,F,51,ADMIN,2.8,Bike,Thursday,No,07:52,08:00,-7,On_Time
E0110,M,53,HR_TEAM,3.1,Public_Transport,Wednesday,No,07:51,08:00,-8,On_Time
E0156,M,26,ICT_PROJECT,9.0,Walking,Thursday,No,07:51,08:00,-8,On_Time
E0153,F,51,RND_CENTER,18.6,Public_Transport,Monday,No,07:59,08:00,0,On_Time
E0168,M,49,HR_TEAM,26.8,Bike,Wednesday,No,08:03,08:00,3,On_Time
E0117,F,48,ADMIN,10.1,Walking,Wednesday,No,08:02,08:00,2,On_Time
E0096,M,52,ADMIN,3.6,Public_Transport,Monday,No,08:08,08:00,8,Late
E0111,M,45,ICT_PROJECT,17.1,Walking,Monday,No,08:00,08:00,0,On_Time
E0106,F,49,ADMIN,29.1,Walking,Wednesday,No,08:14,08:00,14,Late
E0027,M,31,HR_TEAM,7.5,Public_Transport,Wednesday,No,07:57,08:00,-2,On_Time
E0143,F,29,PJOP_SURABAYA,17.6,Bike,Friday,No,08:27,08:00,27,Late
E0197,M,39,ADMIN,6.2,Walking,Wednesday,No,08:06,08:00,6,Late
E0090,M,33,ICT_PROJECT,17.4,Bike,Monday,No,07:51,08:00,-8,On_Time
E0037,M,27,RND_CENTER,7.2,Bike,Thursday,No,07:49,08:00,-10,On_Time
E0088,M,45,PJOP_SURABAYA,21.9,Public_Transport,Monday,No,08:04,08:00,4,On_Time
E0040,M,25,ADMIN,8.9,Bike,Thursday,No,07:57,08:00,-2,On_Time
E0156,F,48,PJOP_SURABAYA,7.3,Public_Transport,Wednesday,No,08:07,08:00,7,Late
E0111,M,40,RND_CENTER,15.1,Walking,Monday,No,08:04,08:00,4,On_Time
E0057,F,25,ADMIN,6.9,Private_Vehicle,Tuesday,No,07:59,08:00,0,On_Time
E0196,F,40,PJOP_SURABAYA,4.5,Bike,Thursday,No,07:51,08:00,-8,On_Time
E0045,M,46,RND_CENTER,21.4,Walking,Monday,No,07:44,08:00,-15,On_Time
E0102,M,49,ADMIN,14.3,Public_Transport,Wednesday,No,07:55,08:00,-4,On_Time
E0148,F,47,HR_TEAM,9.4,Bike,Monday,No,08:08,08:00,8,Late
E0084,M,51,PJOP_SURABAYA,3.6,Public_Transport,Tuesday,No,08:02,08:00,2,On_Time
E0112,F,55,ADMIN,12.5,Walking,Wednesday,No,07:47,08:00,-12,On_Time
E0057,F,32,ADMIN,15.8,Public_Transport,Friday,No,08:01,08:00,1,On_Time
E0131,M,44,PJOP_SURABAYA,22.1,Private_Vehicle,Tuesday,No,08:03,08:00,3,On_Time
E0027,M,38,ICT_PROJECT,6.0,Private_Vehicle,Monday,No,07:51,08:00,-8,On_Time
E0046,F,51,RND_CENTER,23.0,Bike,Friday,No,08:01,08:00,1,On_Time
E0165,F,42,ICT_PROJECT,13.8,Bike,Thursday,No,08:00,08:00,0,On_Time
E0162,F,39,RND_CENTER,2.6,Public_Transport,Wednesday,No,07:48,08:00,-11,On_Time
E0119,F,24,ADMIN,11.7,Walking,Monday,No,08:03,08:00,3,On_Time
E0166,M,54,HR_TEAM,14.4,Public_Transport,Thursday,No,08:05,08:00,5,On_Time
E0147,M,42,RND_CENTER,14.8,Private_Vehicle,Monday,No,08:10,08:00,10,Late
E0116,M,43,ADMIN,15.6,Private_Vehicle,Monday,No,08:10,08:00,10,Late
E0064,F,50,RND_CENTER,16.2,Private_Vehicle,Wednesday,No,07:46,08:00,-13,On_Time
E0096,F,46,HR_TEAM,23.5,Public_Transport,Wednesday,No,07:50,08:00,-9,On_Time
E0017,F,28,RND_CENTER,20.7,Walking,Wednesday,No,08:05,08:00,5,On_Time
E0186,M,43,ADMIN,17.9,Private_Vehicle,Wednesday,No,08:05,08:00,5,On_Time
E0080,F,30,RND_CENTER,21.6,Public_Transport,Wednesday,No,08:05,08:00,5,On_Time
E0144,F,43,ICT_PROJECT,20.4,Public_Transport,Thursday,No,08:38,08:00,38,Late
E0131,F,23,PJOP_SURABAYA,10.0,Private_Vehicle,Wednesday,No,08:05,08:00,5,On_Time
E0197,F,34,ICT_PROJECT,30.0,Private_Vehicle,Monday,No,08:11,08:00,11,Late
E0076,M,54,RND_CENTER,25.2,Public_Transport,Wednesday,No,08:09,08:00,9,Late
E0197,M,46,ICT_PROJECT,5.7,Private_Vehicle,Thursday,No,08:06,08:00,6,Late
E0012,F,45,ICT_PROJECT,29.1,Walking,Thursday,No,07:56,08:00,-3,On_Time
E0060,M,41,HR_TEAM,27.2,Private_Vehicle,Wednesday,No,08:07,08:00,7,Late
E0174,F,51,PJOP_SURABAYA,23.6,Bike,Tuesday,No,07:52,08:00,-7,On_Time
E0052,M,38,ADMIN,19.6,Walking,Friday,No,07:57,08:00,-2,On_Time
E0027,M,40,ADMIN,23.1,Walking,Thursday,No,07:55,08:00,-4,On_Time
E0132,M,49,ADMIN,28.4,Private_Vehicle,Thursday,No,08:00,08:00,0,On_Time
E0090,M,48,ADMIN,12.5,Walking,Tuesday,No,08:23,08:00,23,Late
E0099,M,45,ICT_PROJECT,1.8,Public_Transport,Wednesday,No,07:41,08:00,-18,On_Time
E0038,M,24,PJOP_SURABAYA,27.6,Bike,Tuesday,No,08:06,08:00,6,Late
E0195,F,50,RND_CENTER,1.2,Public_Transport,Monday,No,07:43,08:00,-16,On_Time
E0066,M,31,RND_CENTER,28.3,Bike,Monday,No,07:55,08:00,-4,On_Time
E0199,F,37,PJOP_SURABAYA,4.5,Private_Vehicle,Thursday,No,08:10,08:00,10,Late
E0164,F,26,ADMIN,25.3,Bike,Friday,No,08:00,08:00,0,On_Time
E0138,M,54,RND_CENTER,8.0,Private_Vehicle,Wednesday,No,07:49,08:00,-10,On_Time
E0110,M,44,ICT_PROJECT,17.5,Private_Vehicle,Monday,No,07:52,08:00,-7,On_Time
E0135,F,26,RND_CENTER,16.8,Public_Transport,Thursday,No,08:06,08:00,6,Late
E0121,M,46,PJOP_SURABAYA,8.4,Public_Transport,Wednesday,No,07:52,08:00,-7,On_Time
E0018,F,37,ADMIN,23.4,Walking,Tuesday,No,08:02,08:00,2,On_Time
E0012,F,43,ICT_PROJECT,25.1,Bike,Thursday,No,08:00,08:00,0,On_Time
E0162,M,30,ADMIN,21.8,Bike,Monday,No,07:53,08:00,-6,On_Time
E0076,M,24,ICT_PROJECT,26.7,Walking,Wednesday,No,08:21,08:00,21,Late
E0132,F,52,PJOP_SURABAYA,2.1,Private_Vehicle,Wednesday,No,08:06,08:00,6,Late
E0092,M,43,PJOP_SURABAYA,4.6,Walking,Thursday,No,07:39,08:00,-20,On_Time
E0103,F,46,PJOP_SURABAYA,29.2,Bike,Thursday,No,08:01,08:00,1,On_Time
E0095,F,27,HR_TEAM,3.3,Private_Vehicle,Friday,No,07:53,08:00,-6,On_Time
E0076,F,28,ADMIN,10.5,Walking,Wednesday,No,08:08,08:00,8,Late
E0115,F,32,HR_TEAM,11.2,Public_Transport,Wednesday,No,07:52,08:00,-7,On_Time
E0158,F,39,ADMIN,3.2,Bike,Wednesday,No,07:58,08:00,-1,On_Time
E0132,M,23,ICT_PROJECT,25.6,Bike,Monday,No,08:05,08:00,5,On_Time
E0033,M,37,PJOP_SURABAYA,11.5,Public_Transport,Friday,No,08:08,08:00,8,Late
E0040,F,45,PJOP_SURABAYA,13.9,Public_Transport,Friday,No,07:47,08:00,-12,On_Time
E0036,F,47,PJOP_SURABAYA,19.8,Private_Vehicle,Monday,No,07:56,08:00,-3,On_Time
E0007,M,53,RND_CENTER,12.2,Public_Transport,Wednesday,No,07:55,08:00,-4,On_Time
E0199,F,50,ICT_PROJECT,29.9,Walking,Thursday,No,07:53,08:00,-6,On_Time
E0052,M,30,ADMIN,14.1,Bike,Monday,No,08:17,08:00,17,Late
E0175,F,44,ADMIN,16.9,Walking,Wednesday,No,08:04,08:00,4,On_Time
E0041,M,45,RND_CENTER,7.5,Private_Vehicle,Tuesday,No,07:47,08:00,-12,On_Time
E0061,F,23,PJOP_SURABAYA,17.1,Walking,Thursday,No,08:09,08:00,9,Late
E0142,M,27,ADMIN,10.0,Bike,Friday,No,08:21,08:00,21,Late
E0106,F,26,ICT_PROJECT,29.2,Public_Transport,Thursday,No,08:10,08:00,10,Late
E0120,F,30,RND_CENTER,19.6,Private_Vehicle,Tuesday,No,07:44,08:00,-15,On_Time
E0111,M,29,RND_CENTER,5.4,Private_Vehicle,Tuesday,No,07:55,08:00,-4,On_Time
E0083,M,44,RND_CENTER,27.0,Public_Transport,Wednesday,No,08:12,08:00,12,Late
E0051,F,30,PJOP_SURABAYA,18.8,Public_Transport,Friday,No,07:52,08:00,-7,On_Time
E0165,M,31,ICT_PROJECT,20.1,Walking,Friday,No,08:04,08:00,4,On_Time
E0011,M,27,ADMIN,28.5,Walking,Tuesday,No,08:07,08:00,7,Late
E0197,F,23,HR_TEAM,26.8,Walking,Wednesday,No,07:50,08:00,-9,On_Time
E0124,M,47,PJOP_SURABAYA,14.2,Public_Transport,Tuesday,No,07:59,08:00,0,On_Time
E0113,F,52,HR_TEAM,6.9,Private_Vehicle,Wednesday,No,07:27,08:00,-32,On_Time
E0184,F,44,HR_TEAM,4.8,Walking,Friday,No,07:49,08:00,-10,On_Time
E0144,M,42,ICT_PROJECT,14.5,Walking,Thursday,No,07:57,08:00,-2,On_Time
E0064,M,28,ADMIN,9.4,Bike,Friday,No,07:47,08:00,-12,On_Time
E0108,M,32,PJOP_SURABAYA,28.1,Walking,Tuesday,No,08:16,08:00,16,Late
E0196,M,53,RND_CENTER,14.5,Walking,Thursday,No,07:45,08:00,-14,On_Time
E0006,M,47,RND_CENTER,14.3,Private_Vehicle,Tuesday,No,07:55,08:00,-4,On_Time
E0150,F,25,ADMIN,9.2,Bike,Wednesday,No,08:01,08:00,1,On_Time
E0138,M,28,HR_TEAM,4.9,Walking,Wednesday,No,08:14,08:00,14,Late
E0196,F,45,ADMIN,12.6,Private_Vehicle,Wednesday,No,07:45,08:00,-14,On_Time
E0142,F,26,HR_TEAM,15.6,Walking,Friday,No,08:11,08:00,11,Late
E0175,M,30,ADMIN,12.4,Walking,Friday,No,08:00,08:00,0,On_Time
E0094,M,34,RND_CENTER,15.8,Public_Transport,Monday,No,07:50,08:00,-9,On_Time
E0010,M,43,HR_TEAM,16.1,Private_Vehicle,Friday,No,08:04,08:00,4,On_Time
E0132,M,42,RND_CENTER,10.2,Bike,Friday,No,08:01,08:00,1,On_Time
E0190,F,43,RND_CENTER,25.0,Bike,Friday,No,07:53,08:00,-6,On_Time
E0077,F,23,PJOP_SURABAYA,10.6,Public_Transport,Thursday,No,08:00,08:00,0,On_Time
E0150,F,23,RND_CENTER,14.8,Private_Vehicle,Monday,No,07:56,08:00,-3,On_Time
E0150,F,32,RND_CENTER,19.2,Bike,Tuesday,No,08:01,08:00,1,On_Time
E0175,M,24,RND_CENTER,28.5,Public_Transport,Tuesday,No,08:06,08:00,6,Late
E0005,F,42,HR_TEAM,5.4,Private_Vehicle,Thursday,No,08:15,08:00,15,Late
E0129,F,25,ICT_PROJECT,16.0,Walking,Thursday,No,07:47,08:00,-12,On_Time
