ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
TRAIN_00010,2023-12-29 오후 04:16,기타 -,맑음,12℃,30%,건축 / 건축물 / 기타,"2,130.27㎡","지상 4층, 지하 0층",떨어짐(10미터 이상),없음,건축 > 철근콘크리트공사,가시설 > 비계,기타,기타 / 내부,비계 / 상부(위),"사고자(000) 단독으로 임의작업 시행(작업계획 3층, 사고현장 1층)으로 안전고리 미착용 등 근로자 부주의, 2인이상 작업 미시행","공사 중지와 위험성 평가 재검토 및 재수립, 안전교육 시행, 현장 내 안전시설물 재점검 및 보강, 안전 보호 장비 착용 후 작업 시행, 위험성 평가 반영한 작업계획 수립 및 안전교육 실시, 작업방법에 대한 상시 관리감독 및 작업자 맞춤 안전교육 실시."
TRAIN_00011,2023-12-29 오후 03:15,정규작업 -,맑음,7℃,58%,토목 / 터널 / 도로터널,-,-,떨어짐(2미터 이상 ~ 3미터 미만),없음,토목 > 터널공사,건설공구 > 사다리,확인 및 점검작업,도로터널 / 외부,사다리 / 바닥,1.작업자 단독작업 실시    2. 사다리 전도방지장치  및  2인1조 작업 미이행,특별교육 및 특수형태근로종사자교육 실시와 건설사고 발생에 따른 근로자 안전교육 및 현장 안전관리 철저 공문 발송 예정.
TRAIN_00012,2023-12-29 오후 03:00,정규작업 -,맑음,6℃,63%,건축 / 건축물 / 공동주택,"93,408㎡","지상 28층, 지하 2층",넘어짐(기타),없음,건축 > 철근콘크리트공사,건설공구 > 공구류,조립작업,공동주택 / 외부,공구류 / 바닥,작업바닥 정리정돈 미흡 및 작업자 부주의,"현장 작업장 주변 정리정돈 확인, 아차사고 예방을 위한 일일 안전활동 실시, 현장 특별안전교육 실시, 일일 안전활동 강화 및 현장 작업장 주변 정리정돈 강화 등의 조치 계획."
TRAIN_00013,2023-12-29 오후 02:20,정규작업 -,흐림,4℃,62%,건축 / 건축물 / 공동주택,"49,978.99㎡","지상 20층, 지하 4층",기타,없음,기타 > 기타,기타 > 기타,청소작업,공동주택 / 외부,기타 / 바닥,파이프를 밟고 미끄러지면서 발목과 발가락이 꺽이면서 발가락 골절,작업 진행 방법 재숙지와 실시 안전교육을 통한 재발 방지 대책 마련.
TRAIN_00014,2023-12-29 오후 02:05,정규작업 -,흐림,8℃,50%,건축 / 건축물 / 공동주택,"272,827.56㎡","지상 29층, 지하 2층",넘어짐(기타),없음,건축 > 수장공사,건설자재 > 자재,운반작업,공동주택 / 내부,자재 / 바닥,자재 운반 시 임의로 많은 양을 운반하다 중심을 잃고 넘어짐,작업자 불안전한 행동에 대한 특별교육 실시와 사고 사례 전파를 통한 동일 사고 재발 방지.
TRAIN_00015,2023-12-29 오후 01:55,정규작업 -,맑음,3℃,20%,건축 / 건축물 / 교육연구시설,"20,717.05㎡","지상 4층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 미장공사,가시설 > 작업발판,준비작업,교육연구시설 / 내부,작업발판 / 바닥,창호구간 사춤작업을 위해 우마작업대를 들고 공구를 운반대차에 싣고 이동중 바닥의 결빙구간을 정확히 인지하지 못하여 미끄러져 넘어지면서 들고 가던 우마작업대가 위에 떨어지며 우측 가슴부위를 가격하여 충격을 받은 사고,"작업환경의 사전점검을 통한 관리감독 강화, 결빙구간 제거 및 출입금지 조치, 근로자 대상 안전교육 실시, 시공자의 안전관리 업무 강화 지시 및 발주자/건설사업관리단 현장안전점검 실시 예정."
TRAIN_00016,2023-12-29 오후 12:55,식사ㆍ휴식 등 -,맑음,5℃,64%,건축 / 건축물 / 노유자시설,"10,596.20㎡","지상 5층, 지하 2층",떨어짐(2미터 이상 ~ 3미터 미만),전도,토목 > 가설공사,가시설 > 흙막이가시설,굴착작업,노유자시설 / 내부,흙막이가시설 / 상부(위),작업자 부주의,"작업 전 TBM 실시, 안전 교육 철저, 장비 관련 교육 실시 예정, 현장 안전 점검 및 안전 시설물 점검, 현장 감독자 감독 철저와 작업자 안전 교육 강화."
TRAIN_00017,2023-12-29 오후 12:00,정규작업 -,맑음,1℃,60%,건축 / 건축물 / 창고시설,"250,580.42㎡","지상 9층, 지하 2층",기타,없음,건축 > 조적공사,질병 > 질병,쌓기작업,창고시설 / 내부,질병 / 허리,"현장 내 조적 작업 진행 중 해당 작업자 허리에서 통증이 발생하였고, 병원 진료 등 확인 결과 척추추간판협착증, 전방전위증  등이 발생된걸로 확인",작업시간 및 휴식시간 준수에 대한 재발 방지 대책과 향후 조치 계획.
TRAIN_00018,2023-12-29 오후 12:00,정규작업 -,맑음,0℃,79%,건축 / 건축물 / 업무시설,"15,395.19㎡","지상 15층, 지하 6층",넘어짐(미끄러짐),없음,토목 > 토공사,가시설 > 기타 가시설,기타,업무시설 / 외부,기타 가시설 / 바닥,경사각이 급한 구간을 빠르게 오르려다 넘어짐,작업자 근로자 이동통로에서 이동방법 교육과 안전관리 철저 지시를 통한 재발 방지 대책 마련.
TRAIN_00019,2023-12-29 오후 12:00,정규작업 -,맑음,4℃,70%,건축 / 건축물 / 공동주택,"207,997㎡","지상 34층, 지하 3층",부딪힘,없음,건축 > 타일 및 돌공사,건설자재 > 자재,양중작업,공동주택 / 외부,자재 / 바닥,넘어지는 타일을 지지하다 피하는 과정에서 타일에 왼쪽 발을 부딪힘,"양중 작업 시 기준무게(25kg) 이상 운반을 위한 2인 1조 작업 교육, 자재 전도 방지를 위한 버팀대 설치, 작업 전 바닥 상태 확인 및 정리를 통한 평평한 작업 환경 조성."
TRAIN_00020,2023-12-29 오전 11:40,정규작업 -,맑음,5℃,50%,건축 / 건축물 / 공장,"270,748.50㎡","지상 8층, 지하 0층",끼임,없음,건축 > 철골공사,건설자재 > 자재,운반작업,공장 / 내부,자재 / 바닥,"2인1조로 밀어서 운반 하던 중 상호 의사소통 미흡으로,   한방향으로만 힘이 들어가 손가락이 자재와 자재 사이에 끼임",인력운반 작업 시 1인당 적정무게 준수 및 중량물의 무게별 작업방법 공유와 2인1조 작업 시 의사소통 미흡으로 발생한 사고사례 전파 교육 실시.
TRAIN_00021,2023-12-29 오전 11:30,정규작업 -,맑음,10℃,40%,건축 / 건축물 / 근린생활시설,"2,447.44㎡","지상 2층, 지하 0층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 자재,운반작업,근린생활시설 / 내부,자재 / 바닥,공사현장 내부 바닥자재에 걸려 넘어짐,자재 정리에 대한 강조와 재발 방지 대책.
TRAIN_00022,2023-12-29 오전 11:00,정규작업 -,맑음,-1℃,85%,건축 / 건축물 / 업무시설,"5,956.46㎡","지상 16층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 수장공사,시설물 > 건물,이동,업무시설 / 내부,건물 / 바닥,작업자 미끄러짐,작업자 재교육 실시와 병원 응급조치 이후의 휴식 중 재발 방지 대책 마련.
TRAIN_00023,2023-12-29 오전 11:00,정규작업 -,맑음,5℃,65%,건축 / 건축물 / 공동주택,"71,845.45㎡","지상 29층, 지하 2층",기타,폭발,건축 > 미장공사,건설공구 > 공구류,준비작업,공동주택 / 내부,공구류 / 하부(아래),우레탄폼 사춤작업 준비 중 얼어있는 우레탄폼 케이스를 토치로 가열하다 케이스가 폭발하면서 파편에 맞아 우측 발가락 골절됨,"유사사고 재발 예방을 위한 전 근로자 사고 내용 공유 및 안전 교육 실시, 작업 진행 전 주의사항 및 작업환경 확인 철저, 작업 후 자재 및 공구류 정리정돈 철저."
TRAIN_00024,2023-12-29 오전 10:00,정규작업 -,맑음,0℃,30%,건축 / 건축물 / 교육연구시설,"4,739.85㎡","지상 4층, 지하 1층",떨어짐(2미터 미만),없음,건축 > 수장공사,가시설 > 작업발판,설치작업,교육연구시설 / 내부,작업발판 / 옆,작업자 부주의로 인해,사다리 작업간 안전교육 실시 및 보호장구 착용 점검과 시공사의 안전교육 강화 및 안전장비 착용 점검 강화를 통해 사고 당시 즉시 발주청으로 보고되지 않은 점과 작업자의 산재처리로 인한 뒤늦은 인지로 csi 사고 조사 등록 진행이 이루어진 사항.
TRAIN_00025,2023-12-29 오전 09:55,정규작업 -,맑음,-1℃,50%,토목 / 터널 / 철도터널,-,-,떨어짐(2미터 이상 ~ 3미터 미만),"파열,파단",토목 > 터널공사,건설기계 > 특수건설기계,기타,철도터널 / 내부,특수건설기계 / 차징카 버켓,본선터널 2-1구간(종점방향)의 천단부 보조공법(훠홀링) 시공중 차징카 붐대에 버켓을 연결하는 연결핀이 부러지면서 근로자 추락.,"건설기계 주기적 비파괴 검사 및 연결핀 점검, 근로자 안전벨트 착용 교육 관리와 상하 동시작업 통제의 위험성 평가 반영."
TRAIN_00026,2023-12-29 오전 09:40,정규작업 -,맑음,7℃,40%,건축 / 건축물 / 문화 및 집회시설,"9,113㎡","지상 3층, 지하 1층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 기타 가시설,정리작업,문화 및 집회시설 / 내부,기타 가시설 / 고소,공연장 3층 정리자재를 1층으로 낙하 도중 자재가 바닥에 떨어지면서 튀어 주변 통제를 위해 신호를 하던 재해자 우측 눈 가격,자재 정리 시 주변 통제를 철저히 하고 재발 방지 교육을 실시하는 방안.
TRAIN_00027,2023-12-29 오전 09:30,정규작업 -,맑음,4℃,20%,건축 / 건축물 / 공동주택,"254,020.36㎡","지상 25층, 지하 3층",물체에 맞음,없음,건축 > 철근콘크리트공사,기타 > 기타,조립작업,공동주택 / 내부,기타 / 앞,배관 파이프 고정 작업간 상호 안전상태 확인 미흡 및 타설중지 미실시,"일일 작업 투입 전 자체 세밀한 안전교육 실시 체계 확립, 위험성 작업 간 보호구 착용 강조 및 주변 안전 확인 절차 재강조, 슬라브 지역 배관 설치 및 고정 작업 간 2명 1개조 상호 안전 체크 절차 준수 강조, 배관 고정 작업 시 타설이 중지된 상태에서 유동 없이 실시, 출퇴근 시 보호구 착용 확인 및 수시 교육 실시."
TRAIN_00028,2023-12-29 오전 09:15,정규작업 -,맑음,5℃,50%,건축 / 건축물 / 공장,"977,427㎡","지상 8층, 지하 1층",기타,없음,건축 > 미장공사,건설자재 > 자재,정비작업,공장 / 내부,자재 / 바닥,"적절한 보안경 미착용, 보조원의 위치 부적절",호스 및 장비 고장 시 작업방법 및 절차 수립과 TBM 및 정기교육 시 적절한 개인보호구 착용 및 관련 사고사례 교육.
TRAIN_00029,2023-12-29 오전 09:00,정규작업 -,맑음,7℃,55%,건축 / 건축물 / 공동주택,"9,550.38㎡","지상 14층, 지하 1층",떨어짐(10미터 이상),없음,건축 > 도장공사,시설물 > 건물,도장작업,공동주택 / 내부,건물 / 고소,14층 실외기실 슬라브 도장작업 중 부주의로 인한 추락,작업자 안전교육 및 재발 방지 대책 수립과 작업 전 안전교육 철저 및 관리자 추가 배치를 통한 동종 사고 예방.
TRAIN_00030,2023-12-29 오전 08:40,정규작업 -,맑음,6℃,40%,건축 / 건축물 / 공동주택,"1,432,736.12㎡","지상 22층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,이동,공동주택 / 내부,기타 / 바닥,현장내 이동중 208동 외부계단에서 미끄러짐,"현장 안전조치 이행, 미끄러짐 주의 경고표지 부착, 사고사례 전파 교육 및 행정안내를 통한 재발 방지 대책 마련."
TRAIN_00031,2023-12-29 오전 08:10,정규작업 -,맑음,5℃,40%,건축 / 건축물 / 공동주택,"76,399.25㎡","지상 43층, 지하 4층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,부재 > 슬래브,설치작업,공동주택 / 내부,슬래브 / 바닥,작업자 부주위,"일일 T.B.M. 실시, 작업 방법 재주지, 해당 내용 위험성 평가 회의 진행 및 전파, 작업장 주변 청소 및 정리 정돈, 현장 지정 병원으로 검사 및 조치 후 요양 계획."
TRAIN_00032,2023-12-29 오전 08:00,기타 -,맑음,5℃,30%,건축 / 건축물 / 교육연구시설,"18,101.70㎡","지상 6층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 건축 토공사,기타 > 기타,타설작업,교육연구시설 / 내부,기타 / 바닥,버림타설 후 동절기 보양천막 해체 작업 중 터파기 해 놓은 독립기초 상부 보양비닐을 밟아 단차부위로 넘어져 매립거푸집 지지를 위해 설치한 각파이프에 가슴을 부딪혀 늑골 골절,사고 재발 방지를 위한 안전 관리 철저와 대책 수립.
TRAIN_00033,2023-12-29 오전 07:10,작업 전 -,맑음,-4℃,30%,건축 / 건축물 / 방송통신시설,"12,088.14㎡","지상 3층, 지하 0층",기타,없음,건축 > 철골공사,토사 및 암반 > 지반,이동,방송통신시설 / 외부,지반 / 바닥,크레인 승하강 시 하부 사다리를 확인하지 않고 내려오다 발을 헛디뎌 지반을 강하게 디딤,사고 사례 전파 및 근로자 사다리 승하강 교육 실시를 통한 재발 방지 대책 마련.
TRAIN_00034,2023-12-28 오후 06:25,정규작업 -,맑음,3℃,60%,건축 / 건축물 / 공동주택,"114,168㎡","지상 33층, 지하 3층",끼임,없음,건축 > 타일 및 돌공사,건설자재 > 자재,운반작업,공동주택 / 내부,자재 / 상부(위),"배수로 드레인 이동통로 확보상태 미흡, 작업자의 불안전한 상태에서의 이동 작업","배수로 드레인 덮개 설치 및 충분한 이동통로 확보, 작업자 재발방지 특별안전교육 실시와 안전교육 조치 이행 확인."
TRAIN_00035,2023-12-28 오후 05:50,정규작업 -,맑음,10℃,30%,토목 / 상하수도 / 기타,-,-,"절단, 베임",없음,토목 > 관공사 부대공사,건설자재 > 자재,조립작업,기타 / 인접주변,자재 / 바닥,PE관 절단 중 톱날에 엄지손가락 베임,현장 개인보호구 착용 확인 및 교육 실시와 감독 철저 및 작업자 교육을 통한 재발 방지 대책.
TRAIN_00036,2023-12-28 오후 05:50,기타 -,맑음,5℃,60%,건축 / 건축물 / 공동주택,"117,882.86㎡","지상 24층, 지하 2층",기타,없음,건축 > 철근콘크리트공사,기타 > 기타,기타,공동주택 / 내부,기타 / 지하저류조,구체적인 사고원인이 확인 불가능하여 경찰 및 한국산업안전보건공단 사고조사팀 조사 중,재발 방지를 위한 근로자 안전 관리 철저와 산업재해 여부 조사 결과에 따른 안전 관련 행정 지도 조치 예정.
TRAIN_00037,2023-12-28 오후 04:20,정규작업 -,맑음,-1℃,45%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,가시설 > 안전시설물,고소작업,업무시설 / 내부,안전시설물 / 고소,1. 렌탈에서 하차시 3점지지 미이행 / 계단 발판 미확인,"작업대 승하강 시 계단 발판 육안 확인 철저와 3점지지 이행, 안전한 통로 확보 및 간섭 최소화로 인한 재발 방지 대책."
TRAIN_00038,2023-12-28 오후 04:00,출ㆍ퇴근 등 -,맑음,0℃,50%,건축 / 건축물 / 공동주택,"100,827.54㎡","지상 29층, 지하 1층",기타,없음,건축 > 가설공사,토사 및 암반 > 지반,이동,공동주택 / 인접주변,지반 / 바닥,동주변 토공정리 완료 전 이동,동 주변 근로자 이동구간 지반정리 및 TBM 시 사고사례 전파와 근로자 이동통로 정비.
TRAIN_00039,2023-12-28 오후 03:27,정규작업 -,맑음,4℃,10%,건축 / 건축물 / 교육연구시설,"20,717.05㎡","지상 4층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 조적공사,가시설 > 비계,설치작업,교육연구시설 / 외부,비계 / 지하,주차장 램프 시스템비계 위에서 치장벽돌 쌓기 작업 중 작업도구를 가지러 비계발판에서 창호쪽으로 이동하던 중 미끄러지면서  비계와 발판 사이로 빠지면서 좌측 가슴부위를 창호 인방 모서리에 부딪힌 사고,"비계의 안전난간대 임의해체 금지, 안전난간대 해체 시 비계와 벽체 사이의 발빠짐이나 추락을 예방할 수 있는 작업발판 추가 설치, 비계 상부 작업자의 안전대 착용 및 고리체결 상태 유지, 사고 원인 조사에 따른 동종 재해 예방 대책에 대한 근로자 대상 안전교육 실시, 시공자의 안전관리업무 강화 지시 및 발주자/건설사업관리단 현장 안전점검 실시 예정."
TRAIN_00040,2023-12-28 오후 03:00,식사ㆍ휴식 등 -,맑음,4℃,50%,산업환경설비 / 발전시설,-,-,기타,없음,기계설비 > 기계설비공사,기타 > 기타,기타,/ STG,기타 / 협소공간,1. 협소공간에서 지속적인 작업2. 근골격계질환 교육 미실시,작업 전 관리자 주간 하에 TBM 실시 및 협소공간 지속작업 시 스트레칭 관련 내용 전달과 특별안전교육을 통한 근골격계질환 관련 교육 실시.
TRAIN_00041,2023-12-28 오후 02:30,정규작업 -,흐림,4℃,58%,건축 / 건축물 / 교육연구시설,"7,016.20㎡","지상 3층, 지하 2층",부딪힘,없음,건축 > 철근콘크리트공사,부재 > 슬래브,정리작업,교육연구시설 / 내부,슬래브 / 바닥,1층 바닥 슬라브 거푸집 눈 대비 천막 보양 작업 중 부주위에 의한 사고,"TBM 및 정기안전교육을 통한 지속적인 안전교육 실시와 공사현장 안전관리 철저, 재발방지대책 수립."
TRAIN_00042,2023-12-28 오후 02:00,정규작업 -,맑음,6℃,60%,건축 / 건축물 / 업무시설,"72,303㎡","지상 48층, 지하 6층","절단, 베임",없음,기계설비 > 기계설비공사,건설자재 > 자재,설비작업,업무시설 / 내부,자재 / 바닥,바닥에 헛딛으면서 넘어져 손목 골절됨,근로자 안전교육 실시를 통한 재발 방지 대책 및 향후 조치 계획.
TRAIN_00043,2023-12-28 오후 01:35,정규작업 -,맑음,-4℃,66%,건축 / 건축물 / 공동주택,"114,168㎡","지상 35층, 지하 3층",깔림,없음,건축 > 타일 및 돌공사,가시설 > 비계,설치작업,공동주택 / 내부,비계 / 옆,시스템 비계 과적재,시스템 비계 발판 적재 하중 준수 및 안전교육 실시와 조치계획 이행 확인.
TRAIN_00044,2023-12-28 오후 01:10,기타 -,맑음,6℃,0%,건축 / 건축물 / 교육연구시설,"9,055.59㎡","지상 3층, 지하 1층",떨어짐(5미터 이상 ~ 10미터 미만),없음,건축 > 가설공사,가시설 > 비계,해체작업,교육연구시설 / 내부,비계 / 상부(위),비계 발판 해체 작업 중 비계발판의 무게를 견디지 못하고 추락,"작업자 특별안전교육 실시, 작업지시자 상시배치 및 보호장구착용 철저 지시."
TRAIN_00045,2023-12-28 오후 12:30,식사ㆍ휴식 등 -,맑음,1℃,45%,토목 / 기타 / 부지조성,-,-,넘어짐(물체에 걸림),없음,토목 > 해체 및 철거공사,토사 및 암반 > 지반,이동,부지조성 / 내부,지반 / 바닥,근로자 부주의로 인한 넘어짐,"근로자 보행 통로 구간 안전표지판 설치와 특별안전교육 실시, 일일 작업 투입 전 상시 교육, 관리 대상 선정 등을 통한 이동 구간 보행 안전 확보와 작업자 안전 교육 지시."
TRAIN_00046,2023-12-28 오전 11:00,정규작업 -,맑음,1℃,5%,건축 / 건축물 / 공동주택,"144,506.73㎡","지상 20층, 지하 4층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,타설작업,공동주택 / 외부,기타 / 옥탑,현장관리미흡,타설팀 교육 및 바닥 미끄러짐 상태 보완과 현장관리 점검을 통한 재발 방지 대책.
TRAIN_00047,2023-12-28 오전 10:00,정규작업 -,맑음,-1℃,45%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",부딪힘,없음,건축 > 철근콘크리트공사,건설공구 > 공구류,설치작업,업무시설 / 내부,공구류 / 상부(위),수공구 사용 시 집중력 분산,"수공구 사용 시 올바른 자세와 집중력 유지, 협소 공간 내 작업 시 고정용 보조기구 또는 타정기 사용 및 안전 보호 장구 착용의 필요성."
TRAIN_00048,2023-12-28 오전 10:00,정규작업 -,맑음,5℃,61%,건축 / 건축물 / 업무시설,"50,963.24㎡","지상 15층, 지하 2층","절단, 베임",없음,건축 > 목공사,건설공구 > 공구류,절단작업,업무시설 / 내부,공구류 / 바닥,작업수칙 미준수 및 불안전한 행동,사고 재발 방지 교육 실시와 위험성 평가 강화를 포함한 향후 조치 계획.
TRAIN_00049,2023-12-28 오전 10:00,정규작업 -,맑음,3℃,77%,토목 / 상하수도 / 하수도,-,-,기타,없음,토목 > 관공사,건설기계 > 굴착기,굴착작업,하수도 / 인접주변,굴착기 / 옆,"상기 일시에 재해자가 굴착기와 우수관로 앞쪽에서 굴착잡업 위한 신호를 하던중, 굴착기와 과도한 접근 및 굴착기장비원의 시야확보 부족으로 굴착기 버켓에 오른쪽 발등을 찍힘",재해자의 불안전한 행동 및 작업 중 장비원의 시야 확보 부족에 대한 관련 안전 교육 실시
TRAIN_00050,2023-12-28 오전 10:00,정규작업 -,맑음,5℃,60%,토목 / 상하수도 / 상수도,-,-,부딪힘,없음,토목 > 가설공사,가시설 > 시스템동바리,해체작업,상수도 / 내부,시스템동바리 / 바닥,시스템 동바리 해체 작업 중 재해자가 멍에를 받아서 안고 미끄러지면서 시스템 횡대에 왼쪽 갈비뼈를 부딪힘,작업방법 및 순서에 관한 교육 실시.
TRAIN_00051,2023-12-28 오전 09:50,정규작업 -,맑음,5℃,15%,건축 / 건축물 / 교육연구시설,"39,217㎡","지상 5층, 지하 1층","절단, 베임",없음,건축 > 철근콘크리트공사,기타 > 기타,절단작업,교육연구시설 / 외부,기타 / 상부(위),고속절단기가 정지하지 않은 상태에서 목재 제거를 시도하여 발생. (고속절단기 사용방법의 미숙),고속절단기 날의 회전이 완전히 멈춘 후 목재를 제거할 수 있도록 하는 안전교육 실시.
TRAIN_00052,2023-12-28 오전 09:50,정규작업 -,안개,3℃,60%,건축 / 건축물 / 자동차 관련시설,"5,166.01㎡","지상 1층, 지하 0층",떨어짐(2미터 이상 ~ 3미터 미만),낙하,건축 > 가설공사,가시설 > 기타 가시설,조립작업,자동차 관련시설 / 지붕,기타 가시설 / 상부(위),지붕 판넬 시공전 서리로 인해 미끄러져 떨어짐,지붕공사 시 낙하방지 및 추락방지망 설치와 아침 서리로 인한 미끄러움 방지를 위한 작업시간 변경을 통한 안전 확보.
TRAIN_00053,2023-12-28 오전 09:20,정규작업 -,흐림,1℃,70%,건축 / 건축물 / 교육연구시설,"17,042㎡","지상 3층, 지하 1층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,건설공구 > 사다리,타설작업,교육연구시설 / 외부,사다리 / 상부(위),"사다리 전도방지장치 미설치, 관리감독자 관리 미흡, 작업자 부주의",안전사고 예방을 위한 교육 강화와 안전관리 인력 보충 예정.
TRAIN_00054,2023-12-28 오전 09:11,정규작업 -,맑음,-3℃,30%,건축 / 건축물 / 교육연구시설,"18,682㎡","지상 13층, 지하 2층",넘어짐(물체에 걸림),없음,건축 > 철골공사,시설물 > 건물,인발작업,교육연구시설 / 내부,건물 / 바닥,화재감시중 바닥자재에 걸려 넘어짐,"TBM 철저, 안전시설물 정비, 개인 건강관리 철저, 관리감독 강화 및 위험성 평가 회의 철저를 통한 재발 방지 대책."
